feature,importance
creator_power_score,0.2415156309365416
avg_views,0.22737793256717062
products_promoted,0.10183997237154045
log_avg_views,0.05319408434065058
categorical_hash_46,0.048914202482388314
product_price,0.04367558183786112
categorical_hash_2,0.035653485022746484
categorical_hash_0,0.03488492608422443
campaign_intensity,0.030130948283686194
followers,0.025876266921029418
categorical_hash_11,0.02270751021637322
planned_reach,0.020405699956837768
categorical_hash_40,0.01935878200793055
log_product_price,0.014434401371664487
categorical_hash_30,0.009922793965081363
planned_live_sessions,0.009200774341998421
categorical_hash_1,0.008427272452913718
views_per_follower,0.006992446678630656
categorical_hash_51,0.006626300559547362
brand_fit_interaction,0.005859910625562551
categorical_hash_56,0.005096264768089289
log_followers,0.004663017518543494
categorical_hash_57,0.004274267891541188
categorical_hash_45,0.003909675878088979
planned_posts,0.0031872793814099617
categorical_hash_54,0.0021702315731563764
categorical_hash_21,0.0016921288683333607
discounted_price,0.0016147757172519618
categorical_hash_50,0.001367273893579993
categorical_hash_18,0.0011161577398682264
categorical_hash_19,0.0010743249549418203
engaged_views,0.0010018949242334096
categorical_hash_15,0.0004403336157887614
categorical_hash_16,0.00024087409146125125
categorical_hash_47,0.00022819644978548746
categorical_hash_26,0.00016519552185008239
categorical_hash_41,0.00014759861892486937
categorical_hash_13,0.00010938397951576242
categorical_hash_52,0.00010687325808071647
categorical_hash_20,6.550225884459968e-05
categorical_hash_8,6.075051530705409e-05
categorical_hash_24,5.388908935051988e-05
categorical_hash_59,4.8076014424308677e-05
categorical_hash_27,2.990862296285461e-05
categorical_hash_29,2.6260179194367e-05
categorical_hash_43,2.3196688332917157e-05
categorical_hash_25,1.5301031244090324e-05
categorical_hash_23,1.3920520895377932e-05
categorical_hash_48,1.2605908762079569e-05
categorical_hash_34,1.1370528743304487e-05
categorical_hash_3,9.74015207483886e-06
categorical_hash_4,8.709836919804115e-06
categorical_hash_35,8.266532639574575e-06
categorical_hash_31,4.584228577990182e-06
categorical_hash_37,3.2462229022535807e-06
engagement_rate,0.0
discount_rate,0.0
campaign_duration_days,0.0
historical_conversion_rate,0.0
brand_fit_score,0.0
categorical_hash_5,0.0
categorical_hash_6,0.0
categorical_hash_7,0.0
categorical_hash_9,0.0
categorical_hash_10,0.0
categorical_hash_12,0.0
categorical_hash_14,0.0
categorical_hash_17,0.0
categorical_hash_22,0.0
categorical_hash_28,0.0
categorical_hash_32,0.0
categorical_hash_33,0.0
categorical_hash_36,0.0
categorical_hash_38,0.0
categorical_hash_39,0.0
categorical_hash_42,0.0
categorical_hash_44,0.0
categorical_hash_49,0.0
categorical_hash_53,0.0
categorical_hash_55,0.0
categorical_hash_58,0.0
categorical_hash_60,0.0
categorical_hash_61,0.0
categorical_hash_62,0.0
categorical_hash_63,0.0
