creator_id,creator_name,brand_name,creator_niche,product_category,campaign_date,followers,avg_views,engagement_rate,product_price,discount_rate,campaign_duration_days,planned_posts,planned_live_sessions,products_promoted,historical_conversion_rate,brand_fit_score,creator_cost,gross_margin_rate,orders,gmv,revenue,source_file
senabeauty,senabeauty,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,611300.0,91658.8273381295,0.04,1710000.0,0.0,30.0,0.0,139.0,191.0,0.02,70.0,15282500.0,0.35,36248.0,61984628421.87,61984628421.87,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
phuongsena,phuongsena,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,160500.0,37840.76829268293,0.04,1710000.0,0.0,30.0,6.0,158.0,186.0,0.02,70.0,4012500.0,0.35,27368.0,46799385708.84,46799385708.84,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
quyenleo,quyenleo,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,4700000.0,411998.8,0.04,1710000.0,0.0,30.0,0.0,5.0,141.0,0.02,70.0,100000000.0,0.35,14167.0,24225942287.59,24225942287.59,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
bonphuongsena,bonphuongsena,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,52400.0,6786.662921348315,0.04,1710000.0,0.0,30.0,12.0,77.0,133.0,0.02,70.0,1310000.0,0.35,4464.0,7634327702.54,7634327702.54,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
giadinhsena,giadinhsena,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,46100.0,6732.728395061728,0.04,1710000.0,0.0,30.0,5.0,76.0,108.0,0.02,70.0,1152500.0,0.35,2477.0,4237098307.04,4237098307.04,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
phuongsenaofficial,phuongsenaofficial,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,3992.0,2941.08,0.04,1710000.0,0.0,30.0,13.0,12.0,81.0,0.02,70.0,1000000.0,0.35,552.0,944516876.43,944516876.43,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
thuydam900,thuydam900,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,8673.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,357.0,611096196.56,611096196.56,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
ngoclinhshop95_,ngoclinhshop95_,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,19000.0,3885.0,0.04,1710000.0,0.0,30.0,0.0,5.0,1.0,0.02,70.0,1000000.0,0.35,236.0,403817792.62,403817792.62,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
hana.lamdep,hana.lamdep,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,12800.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,234.0,401842588.33,401842588.33,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
kencacuame,kencacuame,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1061.0,517.4067796610169,0.04,1710000.0,0.0,30.0,7.0,52.0,102.0,0.02,70.0,1000000.0,0.35,201.0,345069483.99,345069483.99,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
dsphanhuy,dsphanhuy,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,16500.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,193.0,330567137.57,330567137.57,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
coxuyenmientay,coxuyenmientay,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,9623.0,1662.3902439024391,0.04,1710000.0,0.0,30.0,0.0,41.0,2.0,0.02,70.0,1000000.0,0.35,180.0,308020940.77,308020940.77,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
bbskincare1,bbskincare1,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1200000.0,208901.4375,0.04,1710000.0,0.0,30.0,0.0,16.0,5.0,0.02,70.0,30000000.0,0.35,164.0,281504617.81,281504617.81,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
lphdung368,lphdung368,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,14200.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,3.0,0.02,70.0,1000000.0,0.35,132.0,226423517.38,226423517.38,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
sandeal_beauty,sandeal_beauty,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,10900.0,345.2,0.04,1710000.0,0.0,30.0,0.0,5.0,1.0,0.02,70.0,1000000.0,0.35,126.0,216821133.35,216821133.35,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
bactuday,bactuday,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2653.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,102.0,175739397.94,175739397.94,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
thuytrangbds.2000,thuytrangbds.2000,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,1771.0,0.0,0.04,1710000.0,0.0,30.0,0.0,0.0,1.0,0.02,70.0,1000000.0,0.35,96.0,164632007.4,164632007.4,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
quykieu3,quykieu3,Lubylab Official Mall,Beauty & Personal Care,Beauty & Personal Care,2025-10-08,2152.0,382.575,0.04,1710000.0,0.0,30.0,0.0,40.0,11.0,0.02,70.0,1000000.0,0.35,76.0,130946867.62,130946867.62,1. Data KOL/1. Data thu thập/Master_data_forML.xlsx
